Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
Alabama,US,4/1/2020 21:58,33.98210918,-86.56790593,5,0,0,0,"Blount, Alabama, US"
Tennessee,US,4/1/2020 21:58,35.68938198,-83.92847788,28,0,0,0,"Blount, Tennessee, US"
Minnesota,US,4/1/2020 21:58,44.03554215,-94.06699781,9,0,0,0,"Blue Earth, Minnesota, US"
Mississippi,US,4/1/2020 21:58,33.79696941,-90.87372121,25,1,0,0,"Bolivar, Mississippi, US"
Missouri,US,4/1/2020 21:58,37.32449052,-90.02725304,1,0,0,0,"Bollinger, Missouri, US"
South Dakota,US,4/1/2020 21:58,42.98914167,-97.88592746,1,0,0,0,"Bon Homme, South Dakota, US"
Illinois,US,4/1/2020 21:58,38.88829622,-89.43534887,2,0,0,0,"Bond, Illinois, US"
Idaho,US,4/1/2020 21:58,48.29996017,-116.6017932,1,0,0,0,"Bonner, Idaho, US"
Idaho,US,4/1/2020 21:58,43.38713372,-111.6161537,2,0,0,0,"Bonneville, Idaho, US"
Arkansas,US,4/1/2020 21:58,36.3084504,-93.09374925,1,0,0,0,"Boone, Arkansas, US"
Indiana,US,4/1/2020 21:58,40.0509304,-86.46841646,29,0,0,0,"Boone, Indiana, US"
Iowa,US,4/1/2020 21:58,42.03657094,-93.9313999,1,0,0,0,"Boone, Iowa, US"
Kentucky,US,4/1/2020 21:58,38.97065142,-84.72615357,8,0,0,0,"Boone, Kentucky, US"
Missouri,US,4/1/2020 21:58,38.99186229,-92.30723575,66,1,0,0,"Boone, Missouri, US"
Louisiana,US,4/1/2020 21:58,32.67932307,-93.60460152,75,1,0,0,"Bossier, Louisiana, US"
Virginia,US,4/1/2020 21:58,37.55531756,-79.80982182,6,0,0,0,"Botetourt, Virginia, US"
Colorado,US,4/1/2020 21:58,40.09313619,-105.3546767,107,2,0,0,"Boulder, Colorado, US"
Kansas,US,4/1/2020 21:58,37.85508555,-94.84865997,3,0,0,0,"Bourbon, Kansas, US"
Kentucky,US,4/1/2020 21:58,38.2054607,-84.21827874,2,1,0,0,"Bourbon, Kentucky, US"
Texas,US,4/1/2020 21:58,33.44626922,-94.41834132,9,1,0,0,"Bowie, Texas, US"
Utah,US,4/1/2020 21:58,41.52106798,-113.0832816,7,0,0,0,"Box Elder, Utah, US"
Kentucky,US,4/1/2020 21:58,38.36176608,-82.68652187,4,0,0,0,"Boyd, Kentucky, US"
Kentucky,US,4/1/2020 21:58,37.62680923,-84.8633779,4,0,0,0,"Boyle, Kentucky, US"
Kentucky,US,4/1/2020 21:58,38.69158994,-84.08532444,1,0,0,0,"Bracken, Kentucky, US"
Florida,US,4/1/2020 21:58,29.95079741,-82.16611613,3,0,0,0,"Bradford, Florida, US"
Pennsylvania,US,4/1/2020 21:58,41.78869215,-76.51570822,8,0,0,0,"Bradford, Pennsylvania, US"
Arkansas,US,4/1/2020 21:58,33.46755808,-92.15980837,4,0,0,0,"Bradley, Arkansas, US"
Tennessee,US,4/1/2020 21:58,35.15739424,-84.857186,14,0,0,0,"Bradley, Tennessee, US"
Michigan,US,4/1/2020 21:58,41.91600556,-85.05929476,2,0,0,0,"Branch, Michigan, US"
Texas,US,4/1/2020 21:58,29.18757369,-95.44563172,95,1,0,0,"Brazoria, Texas, US"
Texas,US,4/1/2020 21:58,30.6636448,-96.30205577,63,3,0,0,"Brazos, Texas, US"
Kentucky,US,4/1/2020 21:58,37.52333168,-83.31959161,2,0,0,0,"Breathitt, Kentucky, US"
Kentucky,US,4/1/2020 21:58,37.77377239,-86.42885017,2,0,0,0,"Breckinridge, Kentucky, US"
Florida,US,4/1/2020 21:58,28.29409504,-80.73091022,38,0,0,0,"Brevard, Florida, US"
Massachusetts,US,4/1/2020 21:58,41.79228404,-71.10872211,366,3,0,0,"Bristol, Massachusetts, US"
Rhode Island,US,4/1/2020 21:58,41.71018079,-71.28652315,18,0,0,0,"Bristol, Rhode Island, US"
Virginia,US,4/1/2020 21:58,36.6163024,-82.16359122,1,0,0,0,"Bristol, Virginia, US"
Montana,US,4/1/2020 21:58,46.33277565,-111.4955813,3,0,0,0,"Broadwater, Montana, US"
South Dakota,US,4/1/2020 21:58,44.36974375,-96.79079945,2,0,0,0,"Brookings, South Dakota, US"
Georgia,US,4/1/2020 21:58,30.83922642,-83.58303423,2,0,0,0,"Brooks, Georgia, US"
New York,US,4/1/2020 21:58,42.15903158,-75.81326086,42,3,0,0,"Broome, New York, US"
Colorado,US,4/1/2020 21:58,39.95998787,-105.0566324,20,1,0,0,"Broomfield, Colorado, US"
Florida,US,4/1/2020 21:58,26.15184651,-80.48725556,1232,12,0,0,"Broward, Florida, US"
Indiana,US,4/1/2020 21:58,39.19605589,-86.22868909,3,0,0,0,"Brown, Indiana, US"
Minnesota,US,4/1/2020 21:58,44.24205652,-94.72562874,2,0,0,0,"Brown, Minnesota, US"
Ohio,US,4/1/2020 21:58,38.93416837,-83.86788395,2,1,0,0,"Brown, Ohio, US"
South Dakota,US,4/1/2020 21:58,45.58994323,-98.35165355,4,0,0,0,"Brown, South Dakota, US"
Texas,US,4/1/2020 21:58,31.77430356,-98.99907113,3,0,0,0,"Brown, Texas, US"
Wisconsin,US,4/1/2020 21:58,44.4526553,-88.00411844,11,0,0,0,"Brown, Wisconsin, US"
North Carolina,US,4/1/2020 21:58,34.070565,-78.22814204,16,0,0,0,"Brunswick, North Carolina, US"
Virginia,US,4/1/2020 21:58,36.76366949,-77.8593436,1,0,0,0,"Brunswick, Virginia, US"
