Date,Country,Confirmed
2/29/2020,Australia,9
2/3/2020,Australia,2
2/4/2020,Australia,3
2/5/2020,Australia,3
2/6/2020,Australia,4
2/7/2020,Australia,5
2/8/2020,Australia,5
2/9/2020,Australia,5
3/1/2020,Australia,9
3/10/2020,Australia,18
3/11/2020,Australia,20
3/12/2020,Australia,20
3/13/2020,Australia,35
3/14/2020,Australia,46
3/15/2020,Australia,61
3/16/2020,Australia,68
3/17/2020,Australia,78
3/18/2020,Australia,94
3/19/2020,Australia,144
3/2/2020,Australia,9
3/20/2020,Australia,184
3/21/2020,Australia,221
3/22/2020,Australia,259
3/23/2020,Australia,319
3/24/2020,Australia,397
3/25/2020,Australia,443
3/26/2020,Australia,493
3/27/2020,Australia,555
3/28/2020,Australia,625
3/29/2020,Australia,656
3/3/2020,Australia,11
3/30/2020,Australia,689
3/31/2020,Australia,743
3/4/2020,Australia,11
3/5/2020,Australia,13
3/6/2020,Australia,13
3/7/2020,Australia,13
3/8/2020,Australia,15
3/9/2020,Australia,15
4/1/2020,Australia,781
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,0
1/27/2020,Australia,0
1/28/2020,Australia,0
1/29/2020,Australia,0
1/30/2020,Australia,0
1/31/2020,Australia,0
2/1/2020,Australia,1
2/10/2020,Australia,2
2/11/2020,Australia,2
2/12/2020,Australia,2
2/13/2020,Australia,2
2/14/2020,Australia,2
2/15/2020,Australia,2
2/16/2020,Australia,2
2/17/2020,Australia,2
2/18/2020,Australia,2
2/19/2020,Australia,2
2/2/2020,Australia,2
2/20/2020,Australia,2
2/21/2020,Australia,2
2/22/2020,Australia,2
2/23/2020,Australia,2
2/24/2020,Australia,2
2/25/2020,Australia,2
2/26/2020,Australia,2
2/27/2020,Australia,2
2/28/2020,Australia,2
2/29/2020,Australia,3
2/3/2020,Australia,2
2/4/2020,Australia,2
2/5/2020,Australia,2
2/6/2020,Australia,2
2/7/2020,Australia,2
2/8/2020,Australia,2
2/9/2020,Australia,2
3/1/2020,Australia,3
3/10/2020,Australia,7
3/11/2020,Australia,9
3/12/2020,Australia,9
3/13/2020,Australia,16
3/14/2020,Australia,19
3/15/2020,Australia,20
3/16/2020,Australia,29
3/17/2020,Australia,29
3/18/2020,Australia,37
3/19/2020,Australia,42
3/2/2020,Australia,3
3/20/2020,Australia,50
3/21/2020,Australia,67
3/22/2020,Australia,100
3/23/2020,Australia,134
3/24/2020,Australia,170
3/25/2020,Australia,170
3/26/2020,Australia,235
3/27/2020,Australia,257
3/28/2020,Australia,287
3/29/2020,Australia,299
3/3/2020,Australia,3
3/30/2020,Australia,305
3/31/2020,Australia,337
3/4/2020,Australia,5
3/5/2020,Australia,5
3/6/2020,Australia,7
3/7/2020,Australia,7
3/8/2020,Australia,7
3/9/2020,Australia,7
4/1/2020,Australia,367
1/22/2020,Australia,0
1/23/2020,Australia,0
1/24/2020,Australia,0
1/25/2020,Australia,0
1/26/2020,Australia,0
1/27/2020,Australia,0
1/28/2020,Australia,0
1/29/2020,Australia,0
1/30/2020,Australia,0
1/31/2020,Australia,0
2/1/2020,Australia,0
2/10/2020,Australia,0
2/11/2020,Australia,0
2/12/2020,Australia,0
2/13/2020,Australia,0
2/14/2020,Australia,0
2/15/2020,Australia,0
2/16/2020,Australia,0
2/17/2020,Australia,0
2/18/2020,Australia,0
2/19/2020,Australia,0
2/2/2020,Australia,0
2/20/2020,Australia,0
2/21/2020,Australia,0
2/22/2020,Australia,0
2/23/2020,Australia,0
2/24/2020,Australia,0
2/25/2020,Australia,0
2/26/2020,Australia,0
2/27/2020,Australia,0
2/28/2020,Australia,0
2/29/2020,Australia,0
2/3/2020,Australia,0
2/4/2020,Australia,0
2/5/2020,Australia,0
2/6/2020,Australia,0
2/7/2020,Australia,0
2/8/2020,Australia,0
2/9/2020,Australia,0
3/1/2020,Australia,0
3/10/2020,Australia,2
3/11/2020,Australia,3
3/12/2020,Australia,3
3/13/2020,Australia,5
3/14/2020,Australia,5
3/15/2020,Australia,6
3/16/2020,Australia,7
3/17/2020,Australia,7
3/18/2020,Australia,10
3/19/2020,Australia,10
3/2/2020,Australia,1
3/20/2020,Australia,10
3/21/2020,Australia,16
3/22/2020,Australia,22
3/23/2020,Australia,28
3/24/2020,Australia,28
3/25/2020,Australia,36
3/26/2020,Australia,47
3/27/2020,Australia,47
3/28/2020,Australia,62
3/29/2020,Australia,66
3/3/2020,Australia,1
3/30/2020,Australia,66
3/31/2020,Australia,69
3/4/2020,Australia,1
3/5/2020,Australia,1
3/6/2020,Australia,1
3/7/2020,Australia,1
3/8/2020,Australia,2
3/9/2020,Australia,2
4/1/2020,Australia,69
1/22/2020,Australia,0
